"subject_id","age_at_test","age_easier","gender","utterance","response"
"WKM_251105_01",4.28,"4 years, 3 months","boy","3","oliver and i always go to the park together"
"WKM_251105_01",4.28,"4 years, 3 months","boy","4","oliver and i always go for bike rides"
"WKM_251105_01",4.28,"4 years, 3 months","boy","5","oliver and i bike to the park together"
"WKM_251105_01",4.28,"4 years, 3 months","boy","6","oliver and i do fun stuff like sleeping together in our bed"
"WKM_251105_01",4.28,"4 years, 3 months","boy","7","my family and i always run together"
"WKM_251105_01",4.28,"4 years, 3 months","boy","8","my family and i always go to the bathroom when we need to poo"
"WKM_251105_01",4.28,"4 years, 3 months","boy","9","my family and i use the bathroom to pee"
"WKM_251105_01",4.28,"4 years, 3 months","boy","10","my family and i play together"
"WKM_251105_01",4.28,"4 years, 3 months","boy","11","my family and i always play music"
"WKM_251105_01",4.28,"4 years, 3 months","boy","12","my family and i always watch tv"
"WKM_251105_02",3.22,"3 years, 2 months","girl","1",""
"WKM_251105_02",3.22,"3 years, 2 months","girl","2",""
"WKM_251105_02",3.22,"3 years, 2 months","girl","3",""
"WKM_251105_02",3.22,"3 years, 2 months","girl","4",""
"WKM_251105_02",3.22,"3 years, 2 months","girl","5",""
"WKM_251105_02",3.22,"3 years, 2 months","girl","6",""
"WKM_251105_02",3.22,"3 years, 2 months","girl","7",""
"WKM_251105_02",3.22,"3 years, 2 months","girl","8",""
"WKM_251105_02",3.22,"3 years, 2 months","girl","9",""
"WKM_251105_02",3.22,"3 years, 2 months","girl","10",""
"WKM_251105_02",3.22,"3 years, 2 months","girl","11",""
"WKM_251105_02",3.22,"3 years, 2 months","girl","12",""
"WKM_251107_01",4.93,"4 years, 11 months","girl","1","i like pink"
"WKM_251107_01",4.93,"4 years, 11 months","girl","2","i am going to go in the trash"
"WKM_251107_01",4.93,"4 years, 11 months","girl","3","borg likes to go in the trash with amaya"
"WKM_251107_01",4.93,"4 years, 11 months","girl","4","i like to go in the trash a lot"
"WKM_251107_01",4.93,"4 years, 11 months","girl","5","last weekend i loved purple and now i love pink"
"WKM_251107_01",4.93,"4 years, 11 months","girl","6","i speak spanish at my other school"
"WKM_251107_01",4.93,"4 years, 11 months","girl","7","my mom loves the color green, light green, or dark green"
"WKM_251107_01",4.93,"4 years, 11 months","girl","8","i have a dad i love him and he has short hair"
"WKM_251107_01",4.93,"4 years, 11 months","girl","9","my dad loves the color blue"
"WKM_251107_01",4.93,"4 years, 11 months","girl","10",""
"WKM_251107_01",4.93,"4 years, 11 months","girl","11",""
"WKM_251107_01",4.93,"4 years, 11 months","girl","12",""
"WKM_251107_02",4.02,"4 years, 0 months","girl","1","i go to the sand area and dig big holes"
"WKM_251107_02",4.02,"4 years, 0 months","girl","2","i like to play hide and seek"
"WKM_251107_02",4.02,"4 years, 0 months","girl","3","i love the color pink"
"WKM_251107_02",4.02,"4 years, 0 months","girl","4","i want to play with amaya and elena"
"WKM_251107_02",4.02,"4 years, 0 months","girl","5","i love purple"
"WKM_251107_02",4.02,"4 years, 0 months","girl","6","i love to push gavin and go on the swings"
"WKM_251107_02",4.02,"4 years, 0 months","girl","7","i love yellow stars"
"WKM_251107_02",4.02,"4 years, 0 months","girl","8","i like to play with all my friends at school"
"WKM_251107_02",4.02,"4 years, 0 months","girl","9","i love to play with my brother remy"
"WKM_251107_02",4.02,"4 years, 0 months","girl","10","i like to play blocks with judy"
"WKM_251107_02",4.02,"4 years, 0 months","girl","11","today we are celebrating my birthday"
"WKM_251107_02",4.02,"4 years, 0 months","girl","12","i like to play bymyself at the park"
"WKM_251107_03",3.21,"3 years, 2 months","girl","1","my mom and my sister take me to school"
"WKM_251107_03",3.21,"3 years, 2 months","girl","2","i like going home and returning to school"
"WKM_251107_03",3.21,"3 years, 2 months","girl","3","my mom and my brother pick me up from school"
"WKM_251107_03",3.21,"3 years, 2 months","girl","4","i went to disney park and i was scared of the dog"
"WKM_251107_03",3.21,"3 years, 2 months","girl","5","my mom dropped me off at school"
"WKM_251107_03",3.21,"3 years, 2 months","girl","6","my mom farted in the car and she needs to go to the doctor"
"WKM_251107_03",3.21,"3 years, 2 months","girl","7","i am sad at school and i need to go away"
"WKM_251107_03",3.21,"3 years, 2 months","girl","8","my mom is away and i am sad for my mom"
"WKM_251107_03",3.21,"3 years, 2 months","girl","9","my mom pushed me and that makes me sad"
"WKM_251107_03",3.21,"3 years, 2 months","girl","10","i will go away and be sad"
"WKM_251107_03",3.21,"3 years, 2 months","girl","11","my mom and dad and nina tell me to go away"
"WKM_251107_03",3.21,"3 years, 2 months","girl","12","my mom says i need to go home"
"WKM_251107_04",3.22,"3 years, 2 months","girl","1","my brother is named brandon"
"WKM_251107_04",3.22,"3 years, 2 months","girl","2","i like reindeers"
"WKM_251107_04",3.22,"3 years, 2 months","girl","3","i have two go-gos"
"WKM_251107_04",3.22,"3 years, 2 months","girl","4","maddie is my baby"
"WKM_251107_04",3.22,"3 years, 2 months","girl","5","i have two forts in my house one is soft and the other is hard"
"WKM_251107_04",3.22,"3 years, 2 months","girl","6","i have go-gos"
"WKM_251107_04",3.22,"3 years, 2 months","girl","7","the spelling of my name"
"WKM_251107_04",3.22,"3 years, 2 months","girl","8","the spelling of my brother's name"
"WKM_251107_04",3.22,"3 years, 2 months","girl","9","the spelling of my mom's name"
"WKM_251107_04",3.22,"3 years, 2 months","girl","10","the spelling of my name and my mom's"
"WKM_251107_04",3.22,"3 years, 2 months","girl","11","the spelling of addie and maddie's names"
"WKM_251107_04",3.22,"3 years, 2 months","girl","12",""
"WKM_251110_01",3.44,"3 years, 5 months","girl","1","my mom does not let me do my hair any other way"
"WKM_251110_01",3.44,"3 years, 5 months","girl","2","i have a special room in my house as well"
"WKM_251110_01",3.44,"3 years, 5 months","girl","3","my nanny calls me smart girl"
"WKM_251110_01",3.44,"3 years, 5 months","girl","4","my nanny calls me strawberry and banana"
"WKM_251110_01",3.44,"3 years, 5 months","girl","5","my favorite candy is similar to m&ms but i cannot remember the name of it"
"WKM_251110_01",3.44,"3 years, 5 months","girl","6","i am not wearing my normal clothes today because my mom told me i can wear my pijamas"
"WKM_251110_01",3.44,"3 years, 5 months","girl","7","my mom calls me cracker"
"WKM_251110_01",3.44,"3 years, 5 months","girl","8","my mom calls me potato"
"WKM_251110_01",3.44,"3 years, 5 months","girl","9","my mom calls me eyes"
"WKM_251110_01",3.44,"3 years, 5 months","girl","10","my mom calls me mouth"
"WKM_251110_01",3.44,"3 years, 5 months","girl","11","my mom calls me tree"
"WKM_251110_01",3.44,"3 years, 5 months","girl","12","my mom calls me fox"
"WKM_251110_02",3.48,"3 years, 5 months","boy","1","i go to ms. Kay's room"
"WKM_251110_02",3.48,"3 years, 5 months","boy","2","i go to bing school every time"
"WKM_251110_02",3.48,"3 years, 5 months","boy","3","i went to a soccer game"
"WKM_251110_02",3.48,"3 years, 5 months","boy","4","i go to bing school"
"WKM_251110_02",3.48,"3 years, 5 months","boy","5","i used to go to the soccer game"
"WKM_251110_02",3.48,"3 years, 5 months","boy","6","i have three stamps from the soccer game"
"WKM_251110_02",3.48,"3 years, 5 months","boy","7","i got a wristband"
"WKM_251110_02",3.48,"3 years, 5 months","boy","8","i go to bing school"
"WKM_251110_02",3.48,"3 years, 5 months","boy","9","i have a game kit"
"WKM_251110_02",3.48,"3 years, 5 months","boy","10","i used to go out to soccer games"
"WKM_251110_02",3.48,"3 years, 5 months","boy","11","i used to go to bing school"
"WKM_251110_02",3.48,"3 years, 5 months","boy","12","i used to go to soccer games"
"WKM_251110_03",3.19,"3 years, 2 months","girl","1","i look in the mirror so i can see and brush my teeth so i can go to bed"
"WKM_251110_03",3.19,"3 years, 2 months","girl","2","after brushing my teeth i get milk and go to bed again and then i fall asleep with my stuffed animal"
"WKM_251110_03",3.19,"3 years, 2 months","girl","3","i can look up and down so i can laugh and learn something about the blue sky and i look at the mirror while riding in the car and see everything"
"WKM_251110_03",3.19,"3 years, 2 months","girl","4","my favorite color in the stars is pink"
"WKM_251110_03",3.19,"3 years, 2 months","girl","5","the pink nails is like gold eyes so I can wear purple and the surface green"
"WKM_251110_03",3.19,"3 years, 2 months","girl","6","the pink star can roll up the sky"
"WKM_251110_03",3.19,"3 years, 2 months","girl","7","it can be super super wet outside so it can be super warm like it's going to float down on the sky"
"WKM_251110_03",3.19,"3 years, 2 months","girl","8","it can be super super wet outside so it can be super warm like it's going to float down on the sky"
"WKM_251110_03",3.19,"3 years, 2 months","girl","9","purple can light up the sky and orange and all the stars can light up"
"WKM_251110_03",3.19,"3 years, 2 months","girl","10","this star can go up so anyone can see"
"WKM_251110_03",3.19,"3 years, 2 months","girl","11",""
"WKM_251110_03",3.19,"3 years, 2 months","girl","12",""
"WKM_251110_04",4.84,"4 years, 10 months","girl","1","i go to the CCSE theater across the street"
"WKM_251110_04",4.84,"4 years, 10 months","girl","2","i like to draw"
"WKM_251110_04",4.84,"4 years, 10 months","girl","3","i like to play"
"WKM_251110_04",4.84,"4 years, 10 months","girl","4","i love elsa and that is why i am wearing an elsa dress today"
"WKM_251110_04",4.84,"4 years, 10 months","girl","5","i like to stay home"
"WKM_251110_04",4.84,"4 years, 10 months","girl","6","i like to watch the tv show bluey when i go home"
"WKM_251110_04",4.84,"4 years, 10 months","girl","7","i always like to play in my courtyard when my mom is making dinner"
"WKM_251110_04",4.84,"4 years, 10 months","girl","8","i sleep on the airplane"
"WKM_251110_04",4.84,"4 years, 10 months","girl","9","sometimes i can drink adult drinks"
"WKM_251110_04",4.84,"4 years, 10 months","girl","10","every sunday i go to ballet"
"WKM_251110_04",4.84,"4 years, 10 months","girl","11","every saturday i also go to the library"
"WKM_251110_04",4.84,"4 years, 10 months","girl","12","i like to play with my baby and my baby scratches me and pulls me"
"WKM_251119_01",3.4,"3 years, 4 months","boy","1","i have arms"
"WKM_251119_01",3.4,"3 years, 4 months","boy","2","i have hair"
"WKM_251119_01",3.4,"3 years, 4 months","boy","3","i have eyes"
"WKM_251119_01",3.4,"3 years, 4 months","boy","4","i have feet"
"WKM_251119_01",3.4,"3 years, 4 months","boy","5","i have arms"
"WKM_251119_01",3.4,"3 years, 4 months","boy","6","i have a nose"
"WKM_251119_01",3.4,"3 years, 4 months","boy","7","i have a stomach"
"WKM_251119_01",3.4,"3 years, 4 months","boy","8","i have a back"
"WKM_251119_01",3.4,"3 years, 4 months","boy","9","i have arms"
"WKM_251119_01",3.4,"3 years, 4 months","boy","10","i have legs"
"WKM_251119_01",3.4,"3 years, 4 months","boy","11","i have feet"
"WKM_251119_01",3.4,"3 years, 4 months","boy","12","i have a stomach"
"WKM_251124_01",4.88,"4 years, 10 months","girl","1","tomorrow i am going to dance class and performing on tuesday night"
"WKM_251124_01",4.88,"4 years, 10 months","girl","2","two days ago i went to ballet"
"WKM_251124_01",4.88,"4 years, 10 months","girl","3","i have a lot of elsa and anna dresses"
"WKM_251124_01",4.88,"4 years, 10 months","girl","4","every single day when i come back home i play with rosie and lucia"
"WKM_251124_01",4.88,"4 years, 10 months","girl","5","yesterday my mom raked my patio because it was really dirty"
"WKM_251124_01",4.88,"4 years, 10 months","girl","6","every time my mom dad and i go to ballet class we go to the hamburger place after"
"WKM_251124_01",4.88,"4 years, 10 months","girl","7","sometimes every single day i sleep with my mom hugging me"
"WKM_251124_01",4.88,"4 years, 10 months","girl","8","some days i dream about lucia and rosie"
"WKM_251124_01",4.88,"4 years, 10 months","girl","9","sometimes i go to the gameroom with a different teacher"
"WKM_251124_01",4.88,"4 years, 10 months","girl","10","my mom does not give me milk when i ask her but my dad does"
"WKM_251124_01",4.88,"4 years, 10 months","girl","11","my grandpa always tickles me when he visits"
"WKM_251124_01",4.88,"4 years, 10 months","girl","12","sometimes i watch annie the musical about an orphanage"
"WKM_251124_02",4,"4 years, 0 months","girl","1","i am going to have a birthday circle at school"
"WKM_251124_02",4,"4 years, 0 months","girl","2","i am going home with my mom after school and i have a new barbie mermaid"
"WKM_251124_02",4,"4 years, 0 months","girl","3","i am going to the store to find lollipops"
"WKM_251124_02",4,"4 years, 0 months","girl","4","i am going to the store to find lollipops, blueberries, ice cream, and chicken tenders"
"WKM_251124_02",4,"4 years, 0 months","girl","5","it was my birthday yesterday"
"WKM_251124_02",4,"4 years, 0 months","girl","6",""
"WKM_251124_02",4,"4 years, 0 months","girl","7",""
"WKM_251124_02",4,"4 years, 0 months","girl","8",""
"WKM_251124_02",4,"4 years, 0 months","girl","9",""
"WKM_251124_02",4,"4 years, 0 months","girl","10",""
"WKM_251124_02",4,"4 years, 0 months","girl","11",""
"WKM_251124_02",4,"4 years, 0 months","girl","12",""
"WKM_251124_03",3.12,"3 years, 1 months","girl","1","i have a dad"
"WKM_251124_03",3.12,"3 years, 1 months","girl","2","i have a mom"
"WKM_251124_03",3.12,"3 years, 1 months","girl","3","i have a brother"
"WKM_251124_03",3.12,"3 years, 1 months","girl","4","i have a sister"
"WKM_251124_03",3.12,"3 years, 1 months","girl","5","i have a whole family"
"WKM_251124_03",3.12,"3 years, 1 months","girl","6","the moon"
"WKM_251124_03",3.12,"3 years, 1 months","girl","7","the sky"
"WKM_251124_03",3.12,"3 years, 1 months","girl","8","i have a sister"
"WKM_251124_03",3.12,"3 years, 1 months","girl","9",""
"WKM_251124_03",3.12,"3 years, 1 months","girl","10",""
"WKM_251124_03",3.12,"3 years, 1 months","girl","11",""
"WKM_251124_03",3.12,"3 years, 1 months","girl","12",""
"WKM_251124_04",4.07,"4 years, 0 months","girl","1","i love everybody for a long time"
"WKM_251124_04",4.07,"4 years, 0 months","girl","2","i really love princesses and dancing"
"WKM_251124_04",4.07,"4 years, 0 months","girl","3","my favorite game is i spy with my little eye"
"WKM_251124_04",4.07,"4 years, 0 months","girl","4","i really love school because i'm happy and my favorite friend is Isla"
"WKM_251124_04",4.07,"4 years, 0 months","girl","5","i bought a new watch"
"WKM_251124_04",4.07,"4 years, 0 months","girl","6",""
"WKM_251124_04",4.07,"4 years, 0 months","girl","7",""
"WKM_251124_04",4.07,"4 years, 0 months","girl","8",""
"WKM_251124_04",4.07,"4 years, 0 months","girl","9",""
"WKM_251124_04",4.07,"4 years, 0 months","girl","10",""
"WKM_251124_04",4.07,"4 years, 0 months","girl","11",""
"WKM_251124_04",4.07,"4 years, 0 months","girl","12",""
